soil,median_soil_toc_combustion,median_soil_total_c_combustion,median_som_loi_percent_wt_loss,median_ca_co3_content,median_som_walkley_black,median_p_h_1_1_water,mad_soil_toc_combustion,mad_soil_total_c_combustion,mad_som_loi_percent_wt_loss,mad_ca_co3_content,mad_som_walkley_black,mad_p_h_1_1_water
Soil.2018.104,0.99,1.02,1.99,0.5,1.81,NA,0.046,0.029,0.1,0.075,0.11,NA
Soil.2018.105,0.288,0.339,1.02,0.75,0.6,NA,0.019,0.038,0.12,0.18,0.085,NA
Soil.2018.106,1.54,1.5,2.44,0.55,2.5,NA,0.06,0.11,0.12,0.058,0.2,NA
Soil.2018.107,1.28,1.28,2.62,0.47,2.19,NA,0.03,0.036,0.12,0.105,0.105,NA
Soil.2018.108,2.48,2.51,4.81,0.5,4.4,NA,0.05,0.079,0.18,0.091,0.13,NA
Soil.2018.109,2.06,2.12,4.14,0.958,3.4,NA,0.107,0.06,0.16,0.085,0.25,NA
Soil.2018.110,0.93,0.95,1.74,0.45,1.83,NA,0.044,0.086,0.11,0.063,0.134,NA
Soil.2018.111,0.84,0.926,1.94,0.805,1.65,NA,0.06,0.044,0.101,0.121,0.15,NA
Soil.2018.112,2.3,2.29,4.26,0.5,3.73,NA,0.08,0.09,0.155,0.074,0.19,NA
Soil.2018.113,1.66,1.75,3.27,0.444,3,NA,0.064,0.088,0.13,0.077,0.105,NA
Soil.2018.114,1.28,1.31,2.6,0.505,2.1,NA,0.04,0.052,0.1,0.121,0.18,NA
Soil.2018.115,0.8,1.51,2.21,7.1,1.31,NA,0.05,0.06,0.22,0.558,0.1,NA
Soil.2018.116,0.687,1.27,1.89,5.83,NA,NA,0.073,0.04,0.24,0.28,NA,NA
Soil.2018.117,2.35,2.36,4.78,0.385,NA,NA,0.07,0.072,0.185,0.042,NA,NA
Soil.2018.118,1.28,1.28,2.55,0.335,NA,NA,0.062,0.045,0.109,0.034,NA,NA
Soil.2018.119,1.65,1.66,3.38,0.64,NA,NA,0.06,0.062,0.21,0.101,NA,NA
Soil.2018.120,1.82,1.87,3.91,0.579,NA,NA,0.068,0.105,0.22,0.095,NA,NA
Soil.2017.101,1.67,1.71,3.7,0.792,2.82,6.03,0.13,0.032,0.13,0.166,0.234,0.135
Soil.2017.102,1.76,1.9,3,0.7,3.25,6.85,0.184,0.084,0.15,0.12,0.15,0.06
Soil.2017.103,2.46,2.37,4.9,0.6,4.4,5.89,0.07,0.077,0.15,0.13,0.29,0.062
Soil.2017.104,3.67,3.87,6.1,2.8,6.01,7.47,0.178,0.11,0.21,0.187,0.42,0.08
Soil.2017.105,0.418,0.46,0.775,0.56,0.774,7.6,0.022,0.026,0.07,0.104,0.096,0.075
Soil.2017.106,1.21,1.24,3,0.485,2.02,NA,0.03,0.04,0.1,0.096,0.17,NA
Soil.2017.107,1.85,1.84,3.02,0.575,3.2,NA,0.131,0.11,0.16,0.119,0.2,NA
Soil.2017.108,1.28,1.9,2.68,5.46,2.1,NA,0.057,0.07,0.12,0.77,0.15,NA
Soil.2017.109,2.53,3.36,4.9,5.75,4.53,NA,0.109,0.103,0.2,0.8,0.2,NA
Soil.2017.110,1.03,1.03,2.35,0.505,1.88,NA,0.032,0.031,0.1,0.09,0.22,NA
Soil.2017.111,2.53,2.87,4.46,2.7,4.36,NA,0.223,0.085,0.14,0.348,0.25,NA
Soil.2017.112,2.9,2.93,5.3,1.02,4.79,NA,0.099,0.11,0.21,0.19,0.2,NA
Soil.2017.113,4.71,5.05,9.48,0.525,7.85,NA,0.465,0.21,0.38,0.07,0.87,NA
Soil.2017.114,1.71,1.86,3.03,0.55,3.08,NA,0.155,0.098,0.12,0.076,NA,NA
Soil.2017.115,1.29,1.3,2.78,0.446,2.26,NA,0.05,0.039,0.092,0.059,0.138,NA
Soil.2017.116,7.52,7.62,12.1,5.1,NA,NA,0.32,0.181,0.39,0.51,NA,NA
Soil.2017.117,1.14,2.26,1.98,8.4,NA,NA,0.15,0.053,0.125,0.8,NA,NA
Soil.2017.118,1.68,1.73,3.21,0.92,NA,NA,0.058,0.04,0.165,0.08,NA,NA
